,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1097,CHEMBL198529,CCCc1cc2c(oc(=O)n2C(C)C)c(CCC)c1O[C@H](C(=O)O)c1ccccc1,Active,411.4980000000001,5.285100000000005,1.0,5.0,5.747146969020107
1098,CHEMBL200952,CCCc1cc2c(oc(=O)n2CC)c(CCC)c1O[C@H](C(=O)O)c1ccc(Cl)cc1,Intermediate,431.91600000000005,5.377500000000005,1.0,5.0,6.657577319177793
1099,CHEMBL371087,CCCc1c(O[C@H](C(=O)O)c2ccc(C(C)C)cc2)c(Cl)cc2c1oc(=O)n2CC,Active,431.9160000000002,5.548400000000004,1.0,5.0,6.2839966563652006
1100,CHEMBL371091,CCCc1cc2c(=O)n(C)oc2c(CCC)c1O[C@H](C(=O)O)c1ccccc1,Intermediate,383.444,4.241200000000004,1.0,5.0,5.42021640338319
1101,CHEMBL198786,CCCc1cc2c(=O)n(C)oc2c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Intermediate,425.5250000000001,5.364600000000005,1.0,5.0,6.6777807052660805
1102,CHEMBL198579,CCCc1cc2c(=O)n(C(C)C)oc2c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Intermediate,453.5790000000002,6.408500000000007,1.0,5.0,6.795880017344075
1103,CHEMBL371097,CCCc1cc2c(=O)n(C3CCCCC3)oc2c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Intermediate,493.64400000000023,7.332800000000008,1.0,5.0,6.356547323513812
1104,CHEMBL121,CCCc1cc2c(=O)n(C(C)C)oc2c(CCC)c1O[C@H](C(=O)O)c1ccc(CC(C)C)cc1,Active,467.6060000000002,6.483600000000007,1.0,5.0,6.585026652029182
1105,CHEMBL200984,CCCc1cc(C(=O)CC)cc(CCC)c1OC(C(=O)O)c1ccccc1,Intermediate,368.473,5.389000000000005,1.0,3.0,5.559090917934782
1106,CHEMBL202240,CCCc1cc(C(=O)C(C)C)cc(CCC)c1OC(C(=O)O)c1ccccc1,Active,382.5,5.635000000000005,1.0,3.0,5.5003129173815966
1107,CHEMBL201581,CCCc1cc(C(=O)C(C)(C)C)cc(CCC)c1OC(C(=O)O)c1ccccc1,Intermediate,396.52700000000004,6.0251000000000055,1.0,3.0,5.568636235841013
1108,CHEMBL201653,CCCc1cc(C(=O)c2ccccc2)cc(CCC)c1OC(C(=O)O)c1ccccc1,Intermediate,416.5170000000001,6.027300000000005,1.0,3.0,5.329754146925876
1109,CHEMBL425766,CCC(=O)c1ccc(OC(C(=O)O)c2ccccc2)cc1,Active,284.311,3.4840000000000018,1.0,3.0,4.301029995663981
1110,CHEMBL202140,CCC(=O)c1cc(C(C)CC)c(OC(C(=O)O)c2ccccc2)c(C(C)CC)c1,Intermediate,396.5270000000001,6.511000000000006,1.0,3.0,4.301029995663981
1111,CHEMBL383132,CCC(=O)c1cc(C)c(OC(C(=O)O)c2ccccc2)c(C)c1,Intermediate,312.36500000000007,4.1008400000000025,1.0,3.0,4.301029995663981
1112,CHEMBL202617,CCC(=O)c1cc(Cl)c(OC(C(=O)O)c2ccccc2)c(Cl)c1,Active,353.201,4.790800000000003,1.0,3.0,4.301029995663981
1113,CHEMBL202515,CCCc1cc(C(=O)CC)cc(C)c1OC(C(=O)O)c1ccc(C(C)C)cc1,Intermediate,382.50000000000006,5.868320000000006,1.0,3.0,6.585026652029182
1114,CHEMBL201036,CCCc1cc(C(=O)CC)cc(Cl)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Active,402.9180000000001,6.213300000000006,1.0,3.0,6.657577319177793
1115,CHEMBL201880,CCCc1cc(C(=O)CC)cc(CCC)c1O[C@H](C(=O)O)c1ccc(CC)cc1,Active,396.5270000000001,5.951400000000005,1.0,3.0,6.6777807052660805
1116,CHEMBL202246,CCCc1cc(C(=O)CC)cc(CCC)c1O[C@H](C(=O)O)c1ccc(CC(C)C)cc1,Intermediate,424.58100000000013,6.587500000000007,1.0,3.0,6.657577319177793
1117,CHEMBL121,CCCc1cc(C(=O)CC)cc(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Active,410.5540000000001,6.512400000000006,1.0,3.0,7.1249387366083
1118,CHEMBL200495,CCCc1cc(C(=O)CC)cc(CCC)c1O[C@@H](C(=O)O)c1ccc(C(C)C)cc1,Active,410.5540000000001,6.512400000000006,1.0,3.0,5.525783735923745
1119,CHEMBL427408,CCCc1cc(C(=O)CC)cc(CCC)c1O[C@H](C(=O)O)c1ccc(OC(C)C)cc1,Inactive,426.5530000000001,6.176200000000006,1.0,4.0,6.698970004336019
1120,CHEMBL213487,CC1(C(=O)O)Cc2cc(OCCCOc3ccc(OCC(F)(F)F)cc3Cl)ccc2O1,Active,460.83200000000005,4.907200000000004,1.0,5.0,4.823908740944319
1121,CHEMBL211371,O=C(O)C1Cc2cc(OCCCOc3ccc(OCC(F)(F)F)cc3Cl)ccc2O1,Active,446.8050000000001,4.517100000000004,1.0,5.0,4.823908740944319
1122,CHEMBL209749,CCC1(C(=O)O)Cc2cc(OCCCOc3ccc(OCC(F)(F)F)cc3Cl)ccc2O1,Active,474.8590000000001,5.297300000000004,1.0,5.0,4.823908740944319
1123,CHEMBL378705,CC(C)(C)C1(C(=O)O)Cc2cc(OCCCOc3ccc(CC(F)(F)F)cc3Cl)ccc2O1,Active,486.91400000000004,6.0971000000000055,1.0,4.0,4.823908740944319
1124,CHEMBL438088,O=C(O)C1(C(F)(F)F)Cc2cc(OCCCOc3ccc(CC(F)(F)F)cc3Cl)ccc2O1,Intermediate,498.80300000000017,5.613300000000003,1.0,4.0,4.823908740944319
1125,CHEMBL211513,O=C(O)C1(Cc2ccccc2)Cc2cc(OCCCOc3ccc(OC(F)(F)F)cc3Cl)ccc2O1,Active,522.9030000000001,6.087500000000005,1.0,5.0,4.823908740944319
1126,CHEMBL214272,CC[C@@]1(C(=O)O)Cc2cc(OCCCOc3ccc(OC(F)(F)F)cc3Cl)ccc2O1,Active,460.83200000000005,5.254800000000005,1.0,5.0,4.823908740944319
1127,CHEMBL213675,CC[C@]1(C(=O)O)Cc2cc(OCCCOc3ccc(OC(F)(F)F)cc3Cl)ccc2O1,Active,460.83200000000005,5.254800000000005,1.0,5.0,4.823908740944319
1128,CHEMBL213678,CC(C)[C@@]1(C(=O)O)Cc2cc(OCCCOc3ccc(OC(F)(F)F)cc3Cl)ccc2O1,Active,474.8590000000001,5.500800000000005,1.0,5.0,4.823908740944319
1129,CHEMBL387023,CC(C)[C@]1(C(=O)O)Cc2cc(OCCCOc3ccc(OC(F)(F)F)cc3Cl)ccc2O1,Active,474.8590000000001,5.500800000000005,1.0,5.0,4.301029995663981
1130,CHEMBL213602,CC[C@@]1(C(=O)O)Cc2cc(OCCCOc3ccc(OCC(F)(F)F)cc3)ccc2O1,Active,440.41400000000004,4.643900000000004,1.0,5.0,4.301029995663981
1131,CHEMBL380070,CCCc1cc(SC(F)(F)F)ccc1OCCCOc1ccc2c(c1)CC(CC)(C(=O)O)O2,Active,484.53600000000034,6.267200000000005,1.0,5.0,5.507239610973162
1132,CHEMBL210163,CCC1(C(=O)O)Cc2cc(OCCCOc3ccc(C(F)(F)F)cc3Cl)ccc2O1,Active,444.833,5.375000000000004,1.0,4.0,4.823908740944319
1133,CHEMBL211839,CCC1(C(=O)O)Cc2cc(OCCCOc3ccc(C(C)(C)C)cc3Cl)ccc2O1,Active,432.94400000000013,5.653700000000006,1.0,4.0,5.363512103646634
1134,CHEMBL265364,CCC1(C(=O)O)Cc2cc(OCCCOc3ccc(SC(F)(F)F)cc3Cl)ccc2O1,Active,476.90000000000003,5.968100000000004,1.0,5.0,5.169411331314856
